name,code,ngram,cui,term,semtype
Dehydration,10012174,Dehydration,C0011175,Dehydration,{'T047'}
Delayed period,10012204,Delayed,C1545665,Delayed,{'T201'}
Delayed period,10012204,period,C0025344,period,{'T040'}
Deliberate self-harm,10012213,Deliberate self-harm,C0036601,Deliberate self-harm,{'T037'}
Delirious,10012217,Delirious,C0011206,delirious,{'T048'}
Delirium,10012218,Delirium,C0011206,Delirium,{'T048'}
Delusion,10012239,Delusion,C0011253,Delusion,{'T048'}
Dementia,10012267,Dementia,C0497327,Dementia,{'T048'}
Dermatitis,10012431,Dermatitis,C0011603,Dermatitis,{'T047'}
Detached retina,10012533,Detached retina,C0035305,Detached retina,{'T047'}
Diabetes,10012594,Diabetes,C0011847,Diabetes,{'T047'}
Diabetes in pregnancy,10012598,Diabetes in pregnancy,C0032969,Diabetes in pregnancy,{'T047'}
Diabetic,10012641,Diabetic,C0241863,Diabetic,{'T033'}
Diabetic retinopathy,10012689,Diabetic retinopathy,C0011884,Diabetic retinopathy,{'T047'}
Diarrhea,10012727,Diarrhea,C0011991,Diarrhea,{'T184'}
Diarrhoea,10012735,Diarrhoea,C0011991,Diarrhoea,{'T184'}
Difficulty breathing,10012791,Difficulty breathing,C0476273,Difficulty breathing,{'T184'}
Difficulty focusing eyes,10012792,Difficulty,C1299586,Difficulty,{'T033'}
Difficulty focusing eyes,10012792,eyes,C0015392,eyes,{'T023'}
Difficulty in standing,10050218,Difficulty in standing,C0241237,Difficulty in standing,{'T184'}
Difficulty in walking,10012794,Difficulty in walking,C0311394,Difficulty in walking,{'T033'}
Difficulty sleeping,10012804,Difficulty sleeping,C0037317,Difficulty sleeping,{'T184'}
Difficulty thinking,10012805,Difficulty,C1299586,Difficulty,{'T033'}
Difficulty thinking,10012805,thinking,C0039869,thinking,{'T041'}
Dilated pupils,10013014,Dilated,C0700124,Dilated,{'T033'}
Dilated pupils,10013014,pupils,C0034121,pupils,{'T023'}
Diminished sense of smell,10064102,sense of smell,C0037361,sense of smell,{'T040'}
Discomfort,10013082,Discomfort,C2364135,Discomfort,{'T184'}
Discomfort in joints,10013088,Discomfort,C2364135,Discomfort,{'T184'}
Disease aggravation,10013097,Disease,C0012634,Disease,{'T047'}
Disease progression,10061818,Disease progression,C0242656,Disease progression,{'T046'}
Disease recurrence,10061819,recurrence,C1458156,recurrence,{'T191'}
Disease recurrence,10061819,Disease,C0012634,Disease,{'T047'}
Disorientated,10013394,Disorientated,C0233407,disorientated,{'T184'}
Distended abdomen,10013480,Distended abdomen,C0000731,Distended abdomen,{'T033'}
Dizziness,10013573,Dizziness,C0012833,Dizziness,{'T184'}
Dizziness on standing up,10013577,Dizziness,C0012833,Dizziness,{'T184'}
Dizziness on standing up,10013577,standing,C4300452,W standing,{'T201'}
Dizzy,10013580,Dizzy,C0012833,Dizzy,{'T184'}
Dizzy spells,10013582,Dizzy spells,C0857087,Dizzy spells,{'T033'}
Double vision,10013614,Double vision,C0012569,Double vision,{'T033'}
Dreamy state,10013634,Dreamy,C0013117,Dream,{'T041'}
Drooling,10013642,Drooling,C0013132,Drooling,{'T033'}
Drowsiness,10013649,Drowsiness,C0013144,Drowsiness,{'T033'}
Drug abuse,10013654,Drug abuse,C0013146,Drug abuse,{'T048'}
Drug addiction,10013658,addiction,C0085281,addiction,{'T048'}
Drug addiction,10013658,Drug,C0013227,Drug,{'T121'}
Drug allergy,10013661,Drug allergy,C0013182,Drug allergy,{'T046'}
Drug dependence,10013663,Drug dependence,C1510472,Drug dependence,{'T048'}
Drug effect decreased,10013678,decreased,C0442797,decreased,{'T033'}
Drug effect decreased,10013678,effect,C1518681,effect,{'T033'}
Drug effect decreased,10013678,Drug,C0013227,Drug,{'T121'}
Drug effect delayed,10068303,effect,C1518681,effect,{'T033'}
Drug effect delayed,10068303,Drug,C0013227,Drug,{'T121'}
Drug effect incomplete,10013682,effect,C1518681,effect,{'T033'}
Drug effect incomplete,10013682,Drug,C0013227,Drug,{'T121'}
Drug effect increased,10013683,effect increased,C0595938,effect increased,{'T046'}
Drug effect increased,10013683,Drug,C0013227,Drug,{'T121'}
Drug ineffective,10013709,Drug,C0013227,Drug,{'T121'}
Drug interaction,10013710,Drug interaction,C0687133,Drug interaction,{'T046'}
Drug withdrawal syndrome,10013754,Drug withdrawal syndrome,C0152128,Drug withdrawal syndrome,{'T047'}
Dry cough,10013773,Dry cough,C0850149,Dry cough,{'T184'}
Dry eyes,10013778,Dry eyes,C0022575,Dry eyes,{'T047'}
Dry heaves,10052104,heaves,C3714496,heaves,{'T047'}
Dry heaves,10052104,Dry,C0151908,Dry,{'T184'}
Dry lips,10013780,Dry lips,C0424489,Dry lips,{'T033'}
Dry mouth,10013781,Dry mouth,C0043352,Dry mouth,{'T033'}
Dry skin,10013786,Dry skin,C0151908,Dry skin,{'T184'}
Dry throat,10013789,throat,C0031354,throat,{'T023'}
Dry throat,10013789,Dry,C0151908,Dry,{'T184'}
Duodenal ulcer,10013836,Duodenal ulcer,C0013295,Duodenal ulcer,{'T047'}
Dysentery,10051402,Dysentery,C0013369,Dysentery,{'T047'}
Dyspepsia,10013946,Dyspepsia,C0013395,Dyspepsia,{'T184'}
Ear ache,10013992,ache,C0234238,ache,{'T184'}
Ear ache,10013992,Ear,C0013443,Ear,{'T023'}
Ear buzzing,10013996,Ear,C0013443,Ear,{'T023'}
Ear congestion,10052136,congestion,C0700148,congestion,{'T046'}
Ear congestion,10052136,Ear,C0013443,Ear,{'T023'}
Ear discharge,10014003,Ear discharge,C0155540,Ear discharge,{'T033'}
Ear discomfort,10052137,discomfort,C2364135,discomfort,{'T184'}
Ear discomfort,10052137,Ear,C0013443,Ear,{'T023'}
Ear feels clogged,10014008,feels,C1527305,feels,{'T041'}
Ear feels clogged,10014008,Ear,C0013443,Ear,{'T023'}
Ear infection,10014011,infection,C0009450,infection,{'T047'}
Ear infection,10014011,Ear,C0013443,Ear,{'T023'}
Ear pain,10014020,Ear pain,C0013456,Ear pain,{'T184'}
Ear swelling,10014025,swelling,C0038999,swelling,{'T033'}
Ear swelling,10014025,Ear,C0013443,Ear,{'T023'}
Eating disorder,10014062,disorder,C0012634,disorder,{'T047'}
Eating disorder,10014062,Eating,C0013470,Eating,{'T040'}
Eczema,10014184,Eczema,C0013595,Eczema,{'T047'}
Electric shock sensation,10014358,Electric shock,C0013781,Electric shock,{'T037'}
Electric shock sensation,10014358,sensation,C0542538,sensation,{'T033'}
Embolism,10061169,Embolism,C0013922,Embolism,{'T046'}
Embolism lung,10050071,Embolism,C0013922,Embolism,{'T046'}
Embolism lung,10050071,lung,C0024109,lung,{'T023'}
Emotional distress,10049119,Emotional distress,C0700361,Emotional distress,{'T033'}
Emotional instability,10014554,Emotional instability,C0085633,Emotional instability,{'T048'}
Emotional problems,10014558,Emotional problems,C0677660,Emotional problems,{'T048'}
Emphysema,10014561,Emphysema,C0013990,Emphysema,{'T046'}
Endometrial cancer,10014733,Endometrial cancer,C0007103,Endometrial cancer,{'T191'}
Energy decreased,10057841,decreased,C0442797,decreased,{'T033'}
Energy decreased,10057841,Energy,C4330907,Energy,{'T170'}
Energy increased,10048779,Energy,C4330907,Energy,{'T170'}
Energy increased,10048779,increased,C0151576,increased ck,{'T033'}
Enlarged prostate,10049240,Enlarged,C1293134,Enlarged,{'T061'}
Enlarged prostate,10049240,prostate,C0033572,prostate,{'T023'}
Epilepsy,10015037,Epilepsy,C0014544,Epilepsy,{'T047'}
Epileptic fit,10015051,fit,C0036572,fit,{'T184'}
Epileptic fit,10015051,Epileptic,C0014544,epileptic,{'T047'}
Erectile dysfunction,10061461,Erectile dysfunction,C0242350,Erectile dysfunction,{'T047'}
Esophageal ulcer,10015451,Esophageal ulcer,C0151970,Esophageal ulcer,{'T047'}
Euphoric mood,10015535,Euphoric mood,C0235146,Euphoric mood,{'T041'}
Exacerbation of disease,10015576,Exacerbation,C4086268,Exacerbation,{'T033'}
Exacerbation of disease,10015576,disease,C0012634,disease,{'T047'}
Excess sweating,10015590,sweating,C0038990,sweating,{'T033'}
Excessive eye blinking,10065166,eye,C0015392,eye,{'T023'}
Exercise tolerance decreased,10051301,Exercise tolerance,C0162521,Exercise tolerance,{'T201'}
Exercise tolerance decreased,10051301,decreased,C0442797,decreased,{'T033'}
Exhaustion,10015667,Exhaustion,C0392674,Exhaustion,{'T184'}
Eye bleeding,10071804,bleeding,C0019080,bleeding,{'T046'}
Eye bleeding,10071804,Eye,C0015392,Eye,{'T023'}
Eye discharge,10015915,discharge,C0012621,discharge,{'T031'}
Eye discharge,10015915,Eye,C0015392,Eye,{'T023'}
Eye infection,10015929,Eye infection,C0015403,Eye infection,{'T047'}
Eye inflammation,10015943,Eye inflammation,C4551678,Eye inflammation,{'T046'}
Eye injury,10061128,injury,C3263723,injury,{'T037'}
Eye injury,10061128,Eye,C0015392,Eye,{'T023'}
Eye irritation,10015946,Eye irritation,C0235266,Eye irritation,{'T033'}
Eye movement disorder,10061129,Eye movement disorder,C0028850,Eye movement disorder,{'T047'}
Eye pain,10015958,Eye pain,C0151827,Eye pain,{'T184'}
Eye red,10015962,Eye,C0015392,Eye,{'T023'}
Eye swelling,10015967,swelling,C0038999,swelling,{'T033'}
Eye swelling,10015967,Eye,C0015392,Eye,{'T023'}
Eyelid pain,10059208,Eyelid,C0015426,Eyelid,{'T023'}
Eyelid pain,10059208,pain,C0030193,pain,{'T184'}
Eyelid twitching,10064261,Eyelid twitching,C0005747,Eyelid twitching,{'T047'}
Eyelids itchy sensation of,10016001,sensation,C0542538,sensation,{'T033'}
Eyelids itchy sensation of,10016001,Eyelids,C0015426,Eyelids,{'T023'}
Eyelids itchy sensation of,10016001,itchy,C0033774,itchy,{'T033'}
Eyes red,10016009,Eyes,C0015392,Eyes,{'T023'}
Eyes rolling,10016010,Eyes,C0015392,Eyes,{'T023'}
Eyes stinging,10016012,stinging,C0677500,stinging,{'T184'}
Eyes stinging,10016012,Eyes,C0015392,Eyes,{'T023'}
Face injury,10050392,injury,C3263723,injury,{'T037'}
Face injury,10050392,Face,C0015450,Face,{'T029'}
Facial droop,10016044,Facial droop,C0427055,Facial droop,{'T184'}
Facial pain,10016059,Facial pain,C0015468,Facial pain,{'T184'}
Facial puffiness,10016063,Facial puffiness,C0542571,Facial puffiness,{'T033'}
Facial swelling,10016065,Facial swelling,C0151602,Facial swelling,{'T033'}
Faecal incontinence,10016092,incontinence,C0021167,incontinence,{'T047'}
Faeces discoloured,10016100,discoloured,C0332572,discoloured,{'T033'}
Faeces pale,10016102,pale,C0030232,pale,{'T033'}
Faint,10016167,Faint,C0039070,Faint,{'T184'}
Fainting,10016169,Fainting,C0039070,Fainting,{'T184'}
Fall,10016173,Fall,C0085639,Fall,{'T033'}
Fatigue,10016256,Fatigue,C0015672,Fatigue,{'T184'}
Fear,10016275,Fear,C0015726,Fear,{'T041'}
Fecal incontinence,10016296,Fecal incontinence,C0015732,Fecal incontinence,{'T047'}
Feces discolored,10016307,discolored,C0332572,discolored,{'T033'}
Feces discolored,10016307,Feces,C0015733,Feces,{'T031'}
Feces pale,10016311,Feces,C0015733,Feces,{'T031'}
Feces pale,10016311,pale,C0030232,pale,{'T033'}
Feces soft,10074865,Feces,C0015733,Feces,{'T031'}
Feeling anxious,10016323,Feeling,C1527305,Feeling,{'T041'}
Feeling anxious,10016323,anxious,C0003467,anxious,{'T048'}
Feeling bad,10016324,Feeling,C1527305,Feeling,{'T041'}
Feeling cold,10016326,Feeling,C1527305,Feeling,{'T041'}
Feeling cold,10016326,cold,C0009443,cold,{'T047'}
Feeling dazed,10050462,Feeling,C1527305,Feeling,{'T041'}
Feeling dazed,10050462,dazed,C0009676,dazed,{'T048'}
Feeling detached,10016328,detached,C1561504,detached,{'T170'}
Feeling detached,10016328,Feeling,C1527305,Feeling,{'T041'}
Feeling down,10016329,Feeling,C1527305,Feeling,{'T041'}
Feeling drunk,10016330,Feeling,C1527305,Feeling,{'T041'}
Feeling drunk,10016330,drunk,C0001969,drunk,{'T048'}
Feeling high,10016333,Feeling,C1527305,Feeling,{'T041'}
Feeling hot,10016334,Feeling,C1527305,Feeling,{'T041'}
Feeling hot and cold,10016335,Feeling,C1527305,Feeling,{'T041'}
Feeling hot and cold,10016335,cold,C0009443,cold,{'T047'}
Feeling hungry,10016336,Feeling,C1527305,Feeling,{'T041'}
Feeling hungry,10016336,hungry,C0020175,hungry,{'T184'}
Feeling irritated,10016337,Feeling,C1527305,Feeling,{'T041'}
Feeling jittery,10016338,Feeling jittery,C0549209,Feeling jittery,{'T184'}
Feeling miserable,10016342,miserable,C0344315,miserable,{'T048'}
Feeling miserable,10016342,Feeling,C1527305,Feeling,{'T041'}
Feeling of despair,10016344,Feeling,C1527305,Feeling,{'T041'}
Feeling of despair,10016344,despair,C0233488,despair,{'T184'}
Feeling of fullness in abdomen,10016348,Feeling,C1527305,Feeling,{'T041'}
Feeling of fullness in abdomen,10016348,abdomen,C0000726,abdomen,{'T029'}
Feeling of fullness in abdomen,10016348,fullness,C0541911,Dullness,{'T033'}
Feeling of relaxation,10016352,Feeling,C1527305,Feeling,{'T041'}
Feeling of total lack of energy,10016356,lack of energy,C0015672,lack of energy,{'T184'}
Feeling of total lack of energy,10016356,Feeling,C1527305,Feeling,{'T041'}
Feeling of warmth,10016357,Feeling,C1527305,Feeling,{'T041'}
Feeling of warmth,10016357,warmth,C0392197,warmth,{'T039'}
Feeling queasy,10016361,Feeling,C1527305,Feeling,{'T041'}
Feeling queasy,10016361,queasy,C0027497,queasy,{'T184'}
Feeling sad,10016364,Feeling sad,C2706102,Feeling sad,{'T201'}
Feeling sick,10016365,Feeling,C1527305,Feeling,{'T041'}
Feeling strange,10016366,Feeling strange,C0235129,Feeling strange,{'T184'}
Feeling unwell,10016370,Feeling,C1527305,Feeling,{'T041'}
Feelings of worthlessness,10016374,Feelings,C1527305,Feelings,{'T041'}
Feelings of worthlessness,10016374,worthlessness,C1821293,Worthlessness,{'T033'}
Feels awful,10016375,Feels,C4553821,Feels,{'T041'}
Feels poorly,10016377,Feels,C4553821,Feels,{'T041'}
Felt faint,10016379,faint,C0039070,faint,{'T184'}
Felt ill,10016383,ill,C0231218,ill,{'T184'}
Female infertility,10016398,Female infertility,C0021361,Female infertility,{'T046'}
Fever,10016558,Fever,C0015967,Fever,{'T184'}
Fever chills,10016559,chills,C0085593,chills,{'T184'}
Fever chills,10016559,Fever,C0015967,Fever,{'T184'}
Feverish,10073718,Feverish,C0015967,feverish,{'T184'}
Fibromyalgia,10048439,Fibromyalgia,C0016053,Fibromyalgia,{'T047'}
Fibula fracture,10016667,fracture,C0016658,fracture,{'T037'}
Fibula fracture,10016667,Fibula,C0016068,Fibula,{'T023'}
Finger deformity,10061156,Finger,C0016129,Finger,{'T023'}
Fingers stiffness,10016695,stiffness,C0427008,stiffness,{'T184'}
Fingers stiffness,10016695,Fingers,C0016129,Fingers,{'T023'}
Flaking skin,10016749,Flaking,C1880783,Flaking,{'T033'}
Flank pain,10016750,Flank pain,C0016199,Flank pain,{'T184'}
Flashing lights,10016757,Flashing lights,C0085635,Flashing lights,{'T047'}
Flatulence,10016766,Flatulence,C0016204,Flatulence,{'T184'}
Floaters in eye,10016779,Floaters,C0016242,Floaters,{'T033'}
Floaters in eye,10016779,eye,C0015392,eye,{'T023'}
Flu,10016790,Flu,C0021400,Flu,{'T047'}
Flu symptoms,10052545,Flu,C0021400,Flu,{'T047'}
Flu symptoms,10052545,symptoms,C1457887,symptom,{'T184'}
Flu-like illness,10016796,illness,C0221423,illness,{'T184'}
Flu-like illness,10016796,like,C0870814,like,{'T041'}
Flu-like illness,10016796,Flu,C0021400,Flu,{'T047'}
Flu-like symptoms,10016797,like,C0870814,like,{'T041'}
Flu-like symptoms,10016797,Flu,C0021400,Flu,{'T047'}
Flu-like symptoms,10016797,symptoms,C1457887,symptom,{'T184'}
Fluid intake reduced,10056291,Fluid intake,C0429791,Fluid intake,{'T201'}
Fluid retention,10016807,Fluid retention,C0268000,Fluid retention,{'T046'}
Flushed,10016821,Flushed,C0016382,Flushed,{'T184'}
Flushed face,10016823,Flushed,C0016382,Flushed,{'T184'}
Flushed face,10016823,face,C0015450,face,{'T029'}
Foggy feeling in head,10016876,feeling,C1527305,feeling,{'T041'}
Foggy feeling in head,10016876,head,C0018670,head,{'T029'}
Food allergy,10016946,Food allergy,C0016470,Food allergy,{'T046'}
Food poisoning,10016952,Food poisoning,C0016479,Food poisoning,{'T037'}
Foot callus,10016963,Foot,C0016504,Foot,{'T023'}
Foot cramps,10016964,cramps,C0026821,cramps,{'T184'}
Foot cramps,10016964,Foot,C0016504,Foot,{'T023'}
Foot deformity,10061159,Foot,C0016504,Foot,{'T023'}
Foot discomfort,10054267,discomfort,C2364135,discomfort,{'T184'}
Foot discomfort,10054267,Foot,C0016504,Foot,{'T023'}
Foot fracture,10016970,fracture,C0016658,fracture,{'T037'}
Foot fracture,10016970,Foot,C0016504,Foot,{'T023'}
Foot infection,10051053,infection,C0009450,infection,{'T047'}
Foot infection,10051053,Foot,C0016504,Foot,{'T023'}
Foreign body sensation in eyes,10051116,Foreign body,C0016542,Foreign body,{'T037'}
Foreign body sensation in eyes,10051116,sensation,C0542538,sensation,{'T033'}
Foreign body sensation in eyes,10051116,eyes,C0015392,eyes,{'T023'}
Forgetfulness,10017060,Forgetfulness,C0542476,Forgetfulness,{'T184'}
Fracture,10017076,Fracture,C0016658,Fracture,{'T037'}
Frequent bowel movements,10017367,bowel movements,C0011135,bowel movements,{'T040'}
Frequent headaches,10052403,Frequent headaches,C0948396,Frequent headaches,{'T184'}
Frozen shoulder,10017391,Frozen shoulder,C0311223,Frozen shoulder,{'T047'}
Frustration,10064862,Frustration,C0016770,Frustration,{'T041'}
Fungal infection,10017533,infection,C0009450,infection,{'T047'}
Fuzzy head,10017566,Fuzzy head,C0541974,Fuzzy head,{'T033'}
Gagging,10017572,Gagging,C0016927,Gagging,{'T033'}
Gallbladder inflammation,10017633,Gallbladder inflammation,C0008325,Gallbladder inflammation,{'T047'}
Gallbladder injury,10017642,Gallbladder,C0016976,Gallbladder,{'T023'}
Gallbladder injury,10017642,injury,C3263723,injury,{'T037'}
Gallbladder pain,10017638,Gallbladder pain,C0151824,Gallbladder pain,{'T047'}
Gallstones,10017650,Gallstones,C0008350,Gallstones,{'T047'}
Gangrene,10017711,Gangrene,C0017086,Gangrene,{'T047'}
Gas,10017735,Gas,C0596601,Gas,{'T184'}
Gasping,10017745,Gasping,C2315245,Gasping,{'T033'}
Gastric bleeding,10017757,bleeding,C0019080,bleeding,{'T046'}
Gastric bleeding,10017757,Gastric,C0038351,Gastric,{'T023'}
Gastric cancer,10017758,Gastric cancer,C0024623,Gastric cancer,{'T191'}
Gastric polyps,10017817,Gastric polyps,C0236048,Gastric polyps,{'T047'}
Gastric ulcer,10017822,Gastric ulcer,C0038358,Gastric ulcer,{'T047'}
Gastritis,10017853,Gastritis,C0017152,Gastritis,{'T047'}
Gastroenteritis,10017888,Gastroenteritis,C0017160,Gastroenteritis,{'T047'}
Gastroesophageal reflux,10017924,Gastroesophageal reflux,C0017168,Gastroesophageal reflux,{'T047'}
Gastroesophageal reflux disease,10066874,Gastroesophageal reflux disease,C0017168,Gastroesophageal reflux disease,{'T047'}
Gastrointestinal bleeding,10017936,Gastrointestinal bleeding,C0017181,Gastrointestinal bleeding,{'T046'}
Gastrointestinal discomfort,10054209,Gastrointestinal,C2707256,Gastrointestinal,{'T201'}
Gastrointestinal discomfort,10054209,discomfort,C2364135,discomfort,{'T184'}
Gastrointestinal infection,10017964,Gastrointestinal infection,C4082764,Gastrointestinal infection,{'T047'}
Gastrointestinal inflammation,10064147,Gastrointestinal inflammation,C1535950,Gastrointestinal inflammation,{'T047'}
Gastrointestinal pain,10017999,Gastrointestinal pain,C0687713,Gastrointestinal pain,{'T184'}
Gastrointestinal ulcer,10061459,Gastrointestinal,C2707256,Gastrointestinal,{'T201'}
Gastrointestinal ulcer,10061459,ulcer,C0041582,ulcer,{'T046'}
Gastrooesophageal reflux,10017884,reflux,C0232483,reflux,{'T046'}
Gastrooesophageal reflux,10017884,Gastrooesophageal,C0744316,Gastroesophageal,{'T029'}
Gastrooesophageal reflux disease,10017885,disease,C0012634,disease,{'T047'}
Gastrooesophageal reflux disease,10017885,reflux,C0232483,reflux,{'T046'}
Gastrooesophageal reflux disease,10017885,Gastrooesophageal,C0744316,Gastroesophageal,{'T029'}
General body pain,10048971,body pain,C0741585,body pain,{'T184'}
General body pain,10048971,General,C3812897,General,{'T058'}
Genital bleeding,10071812,bleeding,C0019080,bleeding,{'T046'}
Genital bleeding,10071812,Genital,C0017420,Genital,{'T023'}
Genital burning sensation,10054815,burning sensation,C0085624,burning sensation,{'T184'}
Genital burning sensation,10054815,Genital,C0017420,Genital,{'T023'}
Genital herpes,10018150,Genital herpes,C0019342,Genital herpes,{'T047'}
Genital itching,10018154,Genital,C0017420,Genital,{'T023'}
Genital itching,10018154,itching,C0033774,itching,{'T033'}
Genital rash,10018175,Genital,C0017420,Genital,{'T023'}
Genital rash,10018175,rash,C0015230,rash,{'T184'}
Giddiness,10018263,Giddiness,C0392701,Giddiness,{'T184'}
Gingivitis,10018292,Gingivitis,C0017574,Gingivitis,{'T047'}
Glaucoma,10018304,Glaucoma,C0017601,Glaucoma,{'T047'}
Glucose increased,10018421,Glucose,C0017725,Glucose,{'T109'}
Glucose increased,10018421,Glucose,C0017725,Glucose,{'T121'}
Glucose increased,10018421,Glucose,C0017725,Glucose,{'T123'}
Glucose increased,10018421,increased,C0151576,increased ck,{'T033'}
Glucose low,10018423,Glucose low,C0860801,Glucose low,{'T033'}
Gluten intolerance,10018460,Gluten intolerance,C4317045,Gluten intolerance,{'T047'}
Goiter,10018491,Goiter,C0018021,Goiter,{'T046'}
Goitre,10018498,Goitre,C0018021,Goitre,{'T046'}
Gout,10018627,Gout,C0018099,Gout,{'T047'}
Greenish stool,10018719,stool,C0015733,stool,{'T031'}
Gritty eyes,10018728,eyes,C0015392,eyes,{'T023'}
Groin pain,10018735,Groin pain,C0239783,Groin pain,{'T184'}
Gum bleeding,10018771,Gum bleeding,C0017565,Gum bleeding,{'T046'}
Gum discoloration,10055524,discoloration,C0332572,discoloration,{'T033'}
Gum discolouration,10018773,discolouration,C0332572,discolouration,{'T033'}
Gum infection,10018784,Gum infection,C0744403,Gum infection,{'T047'}
Gum pain,10018787,pain,C0030193,pain,{'T184'}
Gum recession,10065160,Gum recession,C0017572,Gum recession,{'T047'}
Gum swelling,10018789,swelling,C0038999,swelling,{'T033'}
Haemorrhoidal bleeding,10053553,bleeding,C0019080,bleeding,{'T046'}
Haemorrhoidal bleeding,10053553,Haemorrhoidal,C0034896,Hemorrhoidal,{'T023'}
Haemorrhoids,10019022,Haemorrhoids,C0019112,haemorrhoids,{'T047'}
Hair discoloration,10019034,discoloration,C0332572,discoloration,{'T033'}
Hair discoloration,10019034,Hair,C0018494,Hair,{'T023'}
Hair discolouration,10019036,discolouration,C0332572,discolouration,{'T033'}
Hair discolouration,10019036,Hair,C0018494,Hair,{'T023'}
Hair growth increased,10053821,growth,C0018270,growth,{'T040'}
Hair growth increased,10053821,Hair,C0018494,Hair,{'T023'}
Hair growth increased,10053821,increased,C0151576,increased ck,{'T033'}
Hair loss,10019045,Hair loss,C0002170,Hair loss,{'T047'}
Hair texture abnormal,10019049,Hair texture abnormal,C4554666,Hair texture abnormal,{'T033'}
Hair thinning,10019050,Hair,C0018494,Hair,{'T023'}
Hairiness,10019052,Hairiness,C0019572,hairiness,{'T033'}
Hallucinating,10019062,Hallucinating,C0018524,hallucinating,{'T048'}
Hallucinations,10019077,Hallucinations,C0018524,Hallucinations,{'T048'}
Hand fracture,10019114,fracture,C0016658,fracture,{'T037'}
Hand fracture,10019114,Hand,C0018563,Hand,{'T023'}
Hand rash,10019117,Hand,C0018563,Hand,{'T023'}
Hand rash,10019117,rash,C0015230,rash,{'T184'}
Hangover,10019133,Hangover,C0221100,Hangover,{'T184'}
Hay fever,10019170,Hay fever,C0018621,Hay fever,{'T047'}
Head discomfort,10019194,discomfort,C2364135,discomfort,{'T184'}
Head discomfort,10019194,Head,C0018670,Head,{'T029'}
Head injury,10019196,Head injury,C0018674,Head injury,{'T037'}
Head pain,10019198,Head,C0018670,Head,{'T029'}
Head pain,10019198,pain,C0030193,pain,{'T184'}
Head pressure,10019200,pressure,C0460139,pressure,{'T033'}
Head pressure,10019200,Head,C0018670,Head,{'T029'}
Head spinning,10019203,Head,C0018670,Head,{'T029'}
Head spinning,10019203,spinning,C0021885,pinning,{'T061'}
Head throbbing,10019204,Head,C0018670,Head,{'T029'}
Head tightness,10019205,Head,C0018670,Head,{'T029'}
Headache,10019211,Headache,C0018681,Headache,{'T184'}
Hearing decreased,10019241,decreased,C0442797,decreased,{'T033'}
Hearing decreased,10019241,Hearing,C0018767,Hearing,{'T039'}
Hearing impaired,10019245,Hearing impaired,C1384666,Hearing impaired,{'T047'}
Hearing loss,10019246,Hearing loss,C1384666,Hearing loss,{'T047'}
Hearing loss bilateral,10057844,Hearing loss,C1384666,Hearing loss,{'T047'}
Heart attack,10019250,Heart attack,C0027051,Heart attack,{'T047'}
Heart enlarged,10019278,Heart,C0018787,Heart,{'T023'}
Heart enlarged,10019278,enlarged,C1293134,Enlarged,{'T061'}
Heart failure,10019279,Heart failure,C0018801,Heart failure,{'T047'}
Heart fluttering,10019286,fluttering,C0016385,fluttering,{'T046'}
Heart fluttering,10019286,Heart,C0018787,Heart,{'T023'}
Heart pounding,10019297,Heart,C0018787,Heart,{'T023'}
Heart pounding,10019297,pounding,C1293120,sounding,{'T059'}
Heart racing,10066996,Heart racing,C0039231,Heart racing,{'T033'}
Heart rate high,10019302,Heart rate,C0018810,Heart rate,{'T201'}
Heart rate irregular,10019304,Heart rate,C0018810,Heart rate,{'T201'}
Heart rate low,10019305,Heart rate,C0018810,Heart rate,{'T201'}
Heart rate low,10019305,low,C1550472,low,{'T170'}
Heart valve disorders,10019316,Heart valve disorders,C0018824,Heart valve disorders,{'T047'}
Heartbeats skipped,10019325,skipped,C0560435,skipped,{'T033'}
Heartburn,10019326,Heartburn,C0018834,Heartburn,{'T184'}
Heat rash,10019343,Heat rash,C0162423,Heat rash,{'T047'}
Heat stroke,10019345,Heat stroke,C0018843,Heat stroke,{'T037'}
Heaviness in limbs,10019349,limbs,C0015385,limbs,{'T023'}
Heaviness of head,10049121,head,C0018670,head,{'T029'}
Heavy periods,10019360,Heavy periods,C0025323,Heavy periods,{'T046'}
Hemorrhoidal bleeding,10019609,Hemorrhoidal,C0034896,Hemorrhoidal,{'T023'}
Hemorrhoidal bleeding,10019609,bleeding,C0019080,bleeding,{'T046'}
Hemorrhoids,10019611,Hemorrhoids,C0019112,Hemorrhoids,{'T047'}
Hepatic cancer,10073069,Hepatic,C0205054,Hepatic,{'T029'}
Hepatic cancer,10073069,cancer,C0006826,cancer,{'T191'}
Hepatitis,10019717,Hepatitis,C0019158,Hepatitis,{'T047'}
Hepatitis B,10019731,Hepatitis B,C0019163,Hepatitis B,{'T047'}
Hepatitis C,10019744,Hepatitis C,C0019196,Hepatitis C,{'T047'}
Herpes virus infection,10019973,virus infection,C0042769,virus infection,{'T047'}
Herpes virus infection,10019973,Herpes,C0019340,Herpes,{'T047'}
Hiatus hernia,10020028,Hiatus hernia,C3489393,Hiatus hernia,{'T047'}
Hiccups,10020039,Hiccups,C0019521,Hiccups,{'T033'}
High temperature,10020083,High,C4321237,High,{'T033'}
Hip fracture,10020100,fracture,C0016658,fracture,{'T037'}
Hives,10020197,Hives,C0042109,Hives,{'T047'}
Hoarse voice,10020200,Hoarse voice,C0019825,Hoarse voice,{'T184'}
