"nct_id","query","brief_title","description","brief_title_conc_list","brief_summ_conc_list","total_subjects_affected","total_subjects_at_risk"
"NCT00810732","treating people already having hypertension_page_rank.csv","Effects Of Sitaxsentan On Proteinuria, 24-Hour Blood Pressure, And Arterial Stiffness In Chronic Kidney Disease Subjects","~     This study is being conducted to evaluate sitaxsentan dosing in subjects with chronic kidney~     disease.~   ","C0005823;C0033687;C0427008;C0012634;C0022646","C0022646;C0012634",0,0
"NCT00811733","serious Rheumatoid arthritis_pageRank.csv","A Phase II Trial of Ofatumumab in Subjects With Waldenstrom's Macroglobulinemia","~     Given the tolerability and efficacy of ofatumumab in follicular lymphoma and Chronic~     Lymphocytic Leukemia, and the need to improve therapy for patients with WM utilizing a~     non-myelosuppressive agent this phase II trial of ofatumumab is being initiated in patients~     with Waldenstrom's Macroglobulinemia (WM).~   ","C0024419","C0024299;C0023418;C0184511;C0024419;C0854467",383,4921
"NCT00811954","antiretroviral therapy first time_pageRank.csv","Comparative Study of Three NNRTI-Sparing HAART Regimens","~     The U.S. Department of Health and Human Services (HHS) guidelines recommend that HIV infected~     patients who have never received anti-HIV therapy be treated with a triple drug regimen. The~     most commonly prescribed and successful regimen contains the medication efavirenz (EFV).~     However, this regimen may not be an option for everyone, hence alternative regimens are~     needed.~      This study was designed to look at how well different combinations of anti-HIV drugs work to~     decrease the amount of HIV in the blood (viral load) of and allow immune system recovery in~     people who have never received anti-HIV therapy. This study also examined drug tolerability~     and safety for the various drug combinations.~   ","","C1510425;C1510425;C0162791;C2004454;C0332128;C3687832;C0005767;C4284232;C0439663",7951,553554
"NCT00817817","safe treatments for asthma_pageRank.csv","A Study to Determine the Efficacy and Safety of Two Mometasone Dry Powder Inhalers in the Treatment of Asthma (Study P02524)","~     This is an open-label, comparative, randomized, parallel, multicenter study in asthmatics to~     determine whether the administration of dry powder inhaled mometasone furoate (MF) 400 μg in~     a monodose capsule device would be comparable to administration of powder inhaled MF 400 μg~     in a multidose device.~   ","C0360564;C0004096;C0021461;C0376495","C0066700;C0418992;C3845829",0,0
"NCT00818662","safe treatment for Alzheimer disease_page_rank.csv","A Phase 3 Study Evaluating Safety and Effectiveness of Immune Globulin Intravenous (IGIV 10%) for the Treatment of Mild-to-Moderate Alzheimer´s Disease","~     The purpose of this study was to evaluate the efficacy and safety of 2 doses of Immune~     Globulin Intravenous (IGIV), 10% administered every 2 weeks as an intravenous (IV) infusion~     compared with placebo in participants with mild to moderate Alzheimer's disease (AD).~   ","C0002395;C0376495","C0002395;C0032042",1626,44045
"NCT00830440","dietary approaches for obesity treatment_page_rank.csv","A Multicenter Study for Pre-Surgical Weight Loss","~     The purpose of the study is to evaluate the safety and initial efficacy of the EndoBarrier~     device compared to a diet control in patients who require weight loss prior to their~     Bariatric surgery.~      It is a randomized, prospective controlled, open label, pilot study of 40 patients. Thiry~     patients will receive an implant of the EndoBarrier device and the other 10 patients will~     receive the principle investigator's standard of care diet program. All patients will be~     treated for 12 weeks with the exception of the last 10 device patients who will continue to~     24 weeks if the principle investigator determines that it is safe and in their best interest~     to continue.~      The primary efficacy endpoint is:~        -  Assessment of the difference in % excess weight loss between the 2 groups~      Secondary endpoints are:~        -  Resolution or Improvement in type II Diabetic status as defined as:~        -  Resolution = patient is off their diabetes medication and has normal diabetic blood~          parameters (fasting glucose)~        -  Improvement = normalizing diabetic blood parameters (fasting glucose) and/or a reduction~          in dosing or frequency of their diabetic medication~        -  The percent of patients who achieve at least a 10% excess weight loss will be calculated~          as a secondary outcome.~   ","","C0011847;C2728259;C0015663;C0015663;C0017725;C0005767;C4284232;C0021102;C4284232;C0005767;C0017725;C0180112",95,518
"NCT00832065","serious sleep apnea_page_rank.csv","Sexual Dysfunction And Hypotestosteronemia In Patients With Obstructive Sleep Apnea Syndrome","~     Obstructive Sleep Apnea Syndrome (OSAS)is a common disease and is suspected to be associated~     with sexual dysfunction. Our purpose is to sudy the effect of CPAP (Continuous Positive~     Airway Pressure) treatment on patients' sexual dysfunction by measuring testosterone levels~     before and after CPAP treatments.~   ","C0037315;C0549622","C0037315;C0549622;C0549622;C0428719;C0039601;C0012634;C1446409;C0376495",0,0
"NCT00833690","Early Parkinson disease treatment_page_rank.csv","Safety of Urate Elevation in Parkinson's Disease","~     The purpose of this study is to determine the safety and tolerability of inosine and its~     ability to raise urate levels in blood and cerebral spinal fluid in individuals with early~     Parkinson disease. This will determine whether it is appropriate to proceed with a larger~     study of inosine's ability to modify the rate of disability progression in PD.~   ","C0012634","C0030567;C0005767;C1370194;C2946261",196,3300
"NCT00834509","serious sleep apnea_page_rank.csv","Biomarkers for Obstructive Sleep Apnea","~     The purpose of the study is to:~        -  recruit subjects with untreated sleep apnea; assess overnight changes in their blood and~          urine chemicals~        -  review the overnight changes in blood and urine chemicals after they have been treated~          for sleep apnea~        -  assess the overnight changes in blood and urine chemicals in healthy individuals with no~          sleep problems~        -  compare the amount of fat in the belly using a Magnetic Resonance Imaging (MRI) scanner~          on all subjects~   ","C0037315","C0024485;C0037315;C0005767;C0042036;C0005767;C0042036;C0037313;C0005767;C0042036;C0037313;C0003578;C0033213",0,0
"NCT00836836","Dietary Therapy Epilepsies_page_rank.csv","Modified Atkins Diet in Childhood Epilepsy","~     Seizures are a frequent cause of morbidity in the pediatric age group. Uncontrolled seizures~     pose a variety of risks to children, including higher rates of mortality, developmental delay~     and/or regression, and cognitive impairment. The ketogenic diet is a well known treatment~     option for refractory epilepsy. However it is very restrictive and requires strict weighing~     of foods. The modified Atkins diet is a dietary therapy for intractable childhood epilepsy~     that was designed to be a less restrictive alternative to the traditional ketogenic diet.~     Early studies have demonstrated efficacy and safety.There are no randomized trials evaluating~     the efficacy of the modified Atkins diet in children with refractory epilepsy. Hence this~     study has been planned to investigate whether there are clear benefits in terms of seizure~     control in children with refractory epilepsy who are treated with the modified Atkins diet,~     versus controls.~   ","C0014544","C0259972;C0684321;C0036572;C0014544;C0014544;C0014544;C0259972;C0036572;C0014544;C0036572",0,0
"NCT00837798","Outcomes of cerebrovascular accident_page_rank.csv","RATE Registry - Registry of Atrial Tachyarrhythmia/Atrial Fibrillation (AT/AF) Episodes in the Cardiac Rhythm Management (CRM) Device Population","~     The purpose of this registry is to produce a prospective, outcome-oriented registry to~     document the prevalence of AT/AF in the CRM population by using the Advanced AT/AF~     Diagnostics in select SJM devices.~   ","C0004238;C0080203;C0871269;C0805443","C1301746",0,0
"NCT00837967","safe treatments for asthma_pageRank.csv","Study to Investigate the Safety and Efficacy of High Dose of Symbicort® SMART in Japanese Patients","~     The primary objective of the study is to compare the tolerability of Symbicort® Turbuhaler®~     160/4.5 μg 10 inhalations with terbutaline Turbuhaler® 0.4 mg 10 inhalations for 3 days on~     top of Symbicort® Turbuhaler® 160/4.5 μg 1 inhalation twice a day (bid) in adult asthma~     patients.~   ","C1121854","C1553479;C1553479;C1553479;C1121854;C1121854;C0004096",46,336
"NCT00843102","treating people already having hypertension_page_rank.csv","Investigation of Coronary and Pulmonary Circulatory Parameters in Systemic Sclerosis","~     Aim: Determination of frequency and nature of coronary involvement (including epicardial and~     microvascular) among scleroderma patients referred for right heart catheterization.~   ","C0036429","C0011644;C0018787;C2948600;C0007430",0,0
"NCT00846365","treating people already having hypertension_page_rank.csv","Efficacy and Safety of Azilsartan Medoxomil Plus Chlorthalidone in Participants With Moderate to Severe Hypertension","~     The purpose of this study is to determine the efficacy and safety of azilsartan medoxomil~     combined with chlorthalidone, once daily (QD), in participants with moderate to severe~     essential hypertension.~   ","C2698291;C0020538","C1958569;C0085580",462,34720
"NCT00848354","serious Rheumatoid arthritis_pageRank.csv","Open-Label Study Comparing Etanercept to Conventional Disease Modifying Antirheumatic Drug (DMARD) Therapy","~     The purpose of this 2 phased, open-label study is to compare the safety and efficacy of~     etanercept with conventional Disease Modifying Antirheumatic Drug (DMARD) therapy in Latin~     American subjects with moderate to severe rheumatoid arthritis over 128 weeks. Phase 1 is a~     randomized 24 week treatment period; Phase 2 is an optional open-label 104 week period that~     allows the investigator to choose continuation with the phase I treatment or the addition,~     discontinuation or titration of other DMARD therapy already being utilized for the study.~   ","C0717758;C0012634","C0003873;C0717758;C0012634;C0746919;C0376495",666,74944
"NCT00849095","safe treatments for asthma_pageRank.csv","Prn Budesonide/Formoterol Versus Regular Budesonide/Formoterol Plus Prn Terbutaline in Mild-Moderate Asthma","~     Study No.001 about Budesonide/Formoterol use in ASthMA sponsored by Agenzia Italiana del~     FArmaco (Italian Drug Agency) (AIFA-ASMA-BF-001) The aim of the study is to verify whether~     asthma not controlled by low doses inhaled corticosteroids, thus in need for step up therapy,~     can be equally controlled by guidelines recommended regular bid treatment with long acting~     beta agonist/inhaled corticosteroid (ICS/LABA) combination or the symptom driven use of an~     ICS/LABA combination in the absence of maintenance therapy. The study is designed to be able~     to evaluate the non inferiority of regular placebo plus prn inhaled budesonide/formoterol~     (experimental treatment) versus regular, twice daily 160/4.5 mcg inhaled~     budesonide/formoterol combination plus prn inhaled terbutaline (guidelines recommended~     treatment).~   ","C0060657;C0060657;C0004096","C0060657;C0162791;C0060657;C0162791;C2987634;C0004096;C0004096;C2948600;C0060657;C1457887;C0032042;C0010124;C0180112;C0180112;C0376495;C0376495",0,0
"NCT00854321","serious Rheumatoid arthritis_pageRank.csv","Patients With Rheumatoid Arthritis (RA) Treated With Rituximab in Kuopio University Hospital","~     One centre follow-up study on safety and efficacy of treatment with rituximab among patients~     with RA during 4 year period. Basic data is collected for the national register of~     biologicals.~   ","C0003873;C0393022","C0393022;C0376495",0,0
"NCT00855465","treating people already having hypertension_page_rank.csv","A Study to Evaluate Efficacy and Safety of Oral BAY63-2521 in Patients With CTEPH.","~     The aim of the study is to assess the efficacy and safety of different doses of BAY63-2521,~     given orally for 16 weeks, in patients with Chronic Thromboembolic Pulmonary Hypertension~     (CTEPH).~   ","","C2948600;C2363973",1045,31581
"NCT00860366","Outcomes of cerebrovascular accident_page_rank.csv","Efficacy Study of Combined Treatment With Uric Acid and rtPA in Acute Ischemic Stroke","~     The purpose of this study is to determine whether the combined treatment with Uric Acid and~     rtPA is superior to rtPA alone in terms of clinical efficacy in acute ischemic stroke~     patients treated within the first 4.5 hours of symptoms onset.~   ","C0948008;C0376495","C1457887;C0948008;C1449882;C0376495",0,0
"NCT00866502","Early Parkinson disease treatment_page_rank.csv","A Safety and Tolerability Study of Intracerebroventricular Administration of sNN0031 to Patients With Parkinson's Disease","~     This study is conducted to evaluate the safety and tolerability of the drug product sNN0031,~     containing Platelet Derived Growth Factor (PDGF), when administered directly into one of the~     fluid filled cavities in the brain using an implanted catheter and an implanted SynchroMed®~     II pump. Patients with a diagnosis of Parkinson's disease will be enrolled.~   ","C0012634;C3845829","C0011900;C0012634;C0018270;C0006104",0,0
"NCT00867048","HIV infection seronegativity_page_rank.csv","Strategic Timing of Antiretroviral Treatment","~     Objectives:~        -  To find out if the chance of developing a serious illness or of getting AIDS is less if~          patients start taking HIV medicines at a time when their cluster-of-differentiation-4~          (CD4)+ cell count is still fairly high, instead of waiting until the CD4+ count is at~          the level where there is good evidence for starting medicines.~        -  To learn more about how a strategy of starting HIV medicines early might affect other~          aspects of care, such as the chances of developing other illnesses or resistance to HIV~          medicines, the frequency of doctor visits, the cost of medical care, and general health~          and satisfaction.~   ","C0376495","C0237834;C2946261;C0424575;C0242428",0,0
"NCT00867048","HIV infection Treatment naive_page_rank.csv","Strategic Timing of Antiretroviral Treatment","~     Objectives:~        -  To find out if the chance of developing a serious illness or of getting AIDS is less if~          patients start taking HIV medicines at a time when their cluster-of-differentiation-4~          (CD4)+ cell count is still fairly high, instead of waiting until the CD4+ count is at~          the level where there is good evidence for starting medicines.~        -  To learn more about how a strategy of starting HIV medicines early might affect other~          aspects of care, such as the chances of developing other illnesses or resistance to HIV~          medicines, the frequency of doctor visits, the cost of medical care, and general health~          and satisfaction.~   ","C0376495","C0237834;C2946261;C0424575;C0242428",0,0
"NCT00868283","Outcomes of cerebrovascular accident_page_rank.csv","The Safety and Efficacy of Cerebrolysin in Patients With Acute Ischemic Stroke","~     The study investigated the clinical efficacy and safety of a 10-day course of therapy with~     daily intravenous administration of 30mL Cerebrolysin based on a comparison with Placebo in~     patients with acute ischemic stroke. 1070 patients were randomized in this trial in 2~     parallel groups, one receiving Cerebrolysin, the control group receiving Placebo. Study drug~     will be given once daily by intravenous infusion for 10 consecutive days. Acetylsalicylic~     acid will be given orally, once daily throughout the study duration of 90 days as basic~     treatment. The clinical observation period for each patient will be 3 months and will include~     six clinical evaluation visits at Baseline (day 1) and on study days 2, 5, 10, 30 and 90.~   ","C0948008","C3889687;C4084924;C0948008;C2926735;C0032042;C0032042;C3845829;C0376495",0,0
"NCT00870363","HIV infection seronegativity_page_rank.csv","A Pilot Project of Virologic, Pharmacologic and Immunologic Correlates of Gastrointestinal-Associated Lymphoid Tissue Immune Reconstitution Following Maraviroc Therapy","~     This research study is being done to find out how the immune system in the small intestines~     improves after taking antiretroviral (anti-HIV) medications. Biopsies (small snips of tissue)~     will be taken from the part of the intestines just below the stomach, and will be studied in~     the laboratory. The main purpose of this study is to measure the increase in the numbers of~     immune cells in the intestines to see if this number is related to the amount of medication~     that reaches the intestinal tissue, and the amount of virus that is still hiding there.~      Subjects are either normal control subjects without HIV or, are HIV positive and are about to~     start HIV medications. As part of this study, HIV positive patients will be randomized to~     receive one of three possible combinations of medications.~        1. maraviroc (Selzentry) in combination with 2 NRTIs (dual nucleoside reverse transcriptase~          inhibitor) or~        2. maraviroc PLUS raltegravir in combination with 2 NRTIs (dual nucleoside reverse~          transcriptase inhibitor) or~        3. efavirenz (Sustiva) in combination with 2 NRTIs (dual nucleoside reverse transcriptase~          inhibitor)~      Both Maraviroc and Raltegravir each represent new classes of medications in the way that they~     interfere with HIV making copies of itself. Maraviroc attaches to the surface of the T-cell~     that the virus uses to get into the cell and is therefore known as an entry inhibitor.~     Raltegravir blocks the virus from inserting itself into the DNA of the infected cell's~     nucleus and is therefore known as an Integrase Inhibitor. We hope to learn more about how~     antiretroviral drugs affect T cells and how immune function restores itself when HIV~     infection is treated.~   ","C0596601","C4284232;C4284232;C1871526;C1871526;C4284232;C1871526;C0021853;C0021853;C3714514;C1446409;C1446409;C0332149;C0439663;C0038351;C3687832;C0376601;C0021853;C4284232;C4284232;C0282519;C0150312;C0184511;C3496275",4,176
"NCT00870493","hypertension safe treatments_page_rank.csv","Aliskiren for Immunoglobulin A (IgA) Nephropathy","~     Immunoglobulin A (IgA) nephropathy is the most common type of primary glomerulonephritis in~     the world. Current treatment with angiotensin converting enzyme (ACE) inhibitor and~     angiotensin receptor blocker (ARB) is not entirely effective. Aliskiren, a direct renin~     inhibitor, acts on the rate limiting step of the renin-angiotensin axis. In addition to~     lowering the blood pressure, recent study in diabetic nephropathy suggests an independent~     anti-proteinuric effect. The investigators plan to conduct a randomized placebo-control~     cross-over study to evaluate the safety and efficacy of aliskiren in the treatment of IgA~     nephropathy. The investigators plan to recruit 57 patients with biopsy-proven IgA nephropathy~     and persistent proteinuria despite conventional therapy. They will be randomized to aliskiren~     for 16 weeks or no treatment, followed by cross over to the other arm after a washout period.~     Proteinuria, albuminuria, renal function, serum and urinary markers will be quantified. This~     study will explore the potential anti-proteinuric effect of aliskiren in the treatment of IgA~     nephropathy, which has no specific treatment at present.~   ","C0020843","C0011881;C0017658;C0005823;C0033687;C0033687;C0001925;C0005558;C0229671;C0446516;C0003018;C0003018;C0003018;C0020843;C0032042;C0033687;C0033687;C1979715;C2598130;C0150312;C0376495;C0376495;C0376495;C0376495",0,0
"NCT00870493","treating people already having hypertension_page_rank.csv","Aliskiren for Immunoglobulin A (IgA) Nephropathy","~     Immunoglobulin A (IgA) nephropathy is the most common type of primary glomerulonephritis in~     the world. Current treatment with angiotensin converting enzyme (ACE) inhibitor and~     angiotensin receptor blocker (ARB) is not entirely effective. Aliskiren, a direct renin~     inhibitor, acts on the rate limiting step of the renin-angiotensin axis. In addition to~     lowering the blood pressure, recent study in diabetic nephropathy suggests an independent~     anti-proteinuric effect. The investigators plan to conduct a randomized placebo-control~     cross-over study to evaluate the safety and efficacy of aliskiren in the treatment of IgA~     nephropathy. The investigators plan to recruit 57 patients with biopsy-proven IgA nephropathy~     and persistent proteinuria despite conventional therapy. They will be randomized to aliskiren~     for 16 weeks or no treatment, followed by cross over to the other arm after a washout period.~     Proteinuria, albuminuria, renal function, serum and urinary markers will be quantified. This~     study will explore the potential anti-proteinuric effect of aliskiren in the treatment of IgA~     nephropathy, which has no specific treatment at present.~   ","C0020843","C0011881;C0017658;C0005823;C0033687;C0033687;C0001925;C0005558;C0229671;C0446516;C0003018;C0003018;C0003018;C0020843;C0032042;C0033687;C0033687;C1979715;C2598130;C0150312;C0376495;C0376495;C0376495;C0376495",0,0
"NCT00872469","haemorrhage cure_page_rank.csv","World Maternal Antifibrinolytic Trial","~     The WOMAN trial is a large pragmatic randomised double-blind, placebo controlled trial to~     quantify the effects of the early administration of tranexamic acid on death, hysterectomy~     and other relevant outcomes. 20,000 adult women, after delivery who have clinically diagnosed~     postpartum haemorrhage, are eligible if the responsible doctor is for any reason~     substantially uncertain whether or not to use an antifibrinolytic agent. Additionally, TWO~     nested studies will be conducted in a subset of women trial participants. The first nested~     study (ETAC) aims to evaluate the effect of tranexamic acid (TXA) on markers of coagulation~     in 400 women randomised to the WOMAN trial. The second nested study (ETAPLAT) aims to~     evaluate the haemostatic effect and antithrombotic effect of TXA in 128 women randomised to~     the WOMAN trial.~   ","C1858460","C0003304;C0020699;C0032042;C0087130;C0032797;C3845829;C0180112",0,0
"NCT00873977","serious sleep apnea_page_rank.csv","Treatment Adherence and Outcomes in Three Modalities of Continuous Positive Airway Pressure Treatment for Obstructive Sleep Apnea","~     The purpose of this study is to compare the treatment adherence and effects in three~     modalities of Continuous Positive Airway Pressure Treatment for Obstructive Sleep Apnea.~   ","C0199451;C0037315;C0376495;C0376495","C0199451;C0037313;C0376495;C0376495",0,0
"NCT00874601","Outcomes of cerebrovascular accident_page_rank.csv","Valsartan Efficacy on Modest Blood Pressure Reduction in Acute Ischemic Stroke","~     The manipulation of blood pressure in acute cerebral ischemia has been a matter of debate~     until now. The investigators are clearly in need of more detailed data on how~     antihypertensive treatment affects outcome in acute phase of stroke.~      This study will assess the effects of modest blood pressure (BP) lowering manipulation in~     acute period of ischemic stroke on death or dependency at 90-day.~   ","C0948008;C0005823;C0216784","C0917798;C0948008;C0005823;C0005823;C0011546;C0376495",0,0
"NCT00881985","treating people already having hypertension_page_rank.csv","Effect of Continuous Positive Airway Pressure for Treatment of Obstructive Sleep Apnea on Resistant Hypertension","~     The objectives of this study are to investigate the effect of continuous positive airway~     pressure (CPAP) treatment on blood pressure control and vascular inflammation in subjects~     with resistant hypertension and moderate obstructive sleep apnea (OSA).~   ","C0199451;C0020538;C0037315;C0376495","C0005823;C0021368;C0020538;C0037315;C1446409;C0376495",0,0
"NCT00887588","treating people already having hypertension_page_rank.csv","LCZ696 Compared to Valsartan in Patients With Chronic Heart Failure and Preserved Left-ventricular Ejection Fraction","~     The study will assess the effects of 36 weeks of treatment with LCZ696 compared to valsartan~     on N-terminal pro-Brain Natriuretic Peptide (NT-proBNP) in patients with chronic heart~     failure and preserved left-ventricular ejection fraction.~   ","C0264716;C0216784;C0428772","C0006104;C1144709;C0216784;C0428772;C0018787;C0376495",709,36722
"NCT00887978","hypertension safe treatments_page_rank.csv","Efficacy and Safety of Oral UT-15C Tablets to Treat Pulmonary Arterial Hypertension","~     This study is an international, multi-center, randomized, double-blind, placebo-controlled~     study in subjects with PAH who are currently receiving approved therapy for their PAH (i.e.,~     endothelin receptor antagonist and/or phosphodiesterase-5 inhibitor). Study visits will occur~     at 4 week intervals for 16 weeks with the key measure of efficacy being the 6-minute walk~     test. Study procedures include routine blood tests, medical history, physical exams, disease~     evaluation, and exercise tests.~      Patients who complete all assessments for 16-weeks will also be eligible to enter an~     open-label, extension phase study (FREEDOM - EXT).~   ","C2973725","C1134681;C0262926;C0220825;C0005767;C0012634;C0032042;C1318700;C0233494;C0085973",1450,22630
"NCT00900146","serious Rheumatoid arthritis_pageRank.csv","Dose Finding, Safety and Efficacy of Monthly Subcutaneous Canakinumab Administration in Metformin Monotherapy Treated Type 2 Diabetic Patients","~     This was a four month dose ranging study followed by a 24 to 48 month extension at the~     selected dose to characterize the safety and efficacy of the injectable IL-1B (interleukin 1,~     beta) antagonist canakinumab in the treatment of patients with Type 2 diabetes mellitus~     (T2DM) already treated on maximum dose metformin.~   ","C0243095;C3845829","C0011847;C0086466;C0021761;C0233494;C0376495",202,20387
"NCT00903682","HIV infection seronegativity_page_rank.csv","A Clinical Trial Comparing the Tolerability of Etravirine to Efavirenz in Combination With 2 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors in Treatment-naive HIV-1 Infected Patients","~     The purpose of this study is to compare the neuropsychiatric adverse event profiles of~     etravirine 400mg once daily versus efavirenz 600mg once daily, in combination with 2~     N(t)RTIs, in approximately 150 treatment-naÃ-ve HIV-1 infected patients. Safety, tolerability~     and efficacy of both treatment arms will be assessed throughout the study.~   ","C0282519;C1456409;C0439663;C0376495","C0877248;C1456409;C0439663;C0376495;C0376495",458,8792
"NCT00903682","HIV infection Treatment naive_page_rank.csv","A Clinical Trial Comparing the Tolerability of Etravirine to Efavirenz in Combination With 2 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors in Treatment-naive HIV-1 Infected Patients","~     The purpose of this study is to compare the neuropsychiatric adverse event profiles of~     etravirine 400mg once daily versus efavirenz 600mg once daily, in combination with 2~     N(t)RTIs, in approximately 150 treatment-naÃ-ve HIV-1 infected patients. Safety, tolerability~     and efficacy of both treatment arms will be assessed throughout the study.~   ","C0282519;C1456409;C0439663;C0376495","C0877248;C1456409;C0439663;C0376495;C0376495",458,8792
"NCT00903747","managing constipation in children_pageRank.csv","Thorough Corrected QT Interval (QTc) Study To Evaluate Possible Effects of Prucalopride on ECG Parameters","~     This is a 2-arm, parallel-group active- and placebo-controlled, double-blind randomised~     study, stratified by gender and with a hybrid crossover group design, to compare treatment~     with prucalopride 2 mg/day (intended therapeutic dose) and prucalopride 10 mg/day~     (supratherapeutic dose) with placebo. A single oral dose of 400 mg moxifloxacin is included~     as a positive control in terms of the effect on cardiac repolarisation.~      Study hypothesis:~      Treatment with therapeutic (2 mg) or supratherapeutic (10 mg) doses of prucalopride in~     healthy male and female volunteers will not increase QTc interval compared to placebo.~   ","C0332149","C1446409;C0032042;C0032042;C0723338;C0180112;C0376495",0,0
"NCT00908037","haemorrhage cure_page_rank.csv","Efficacy and Safety Study of Eltrombopag in Pediatric Patients With Thrombocytopenia From Chronic Idiopathic Thrombocytopenic Purpura (ITP)","~     Phase II, multi-center, 3 part, staggered cohort, open-label and double blind, randomized,~     placebo controlled study involving 3 age-determined cohorts (Cohort 1: between 12 and 17~     years old; Cohort 2: between 6 and 11 years old; Cohort 3: between 1 and 5 years old). Daily~     dosing with eltrombopag will begin with 5 patients in the oldest age cohort in an open label~     fashion, and a review of safety, pharmacokinetic and platelet count data will be performed~     regularly. If no safety concerns are identified after 12 weeks, 18 additional patients will~     be randomised to placebo or eltrombopag (2:1 randomisation). After 7 weeks of randomized~     treatment, all patients will receive eltrombopag in an open label fashion. The total duration~     of treatment with eltrombopag will be 24 weeks. If at the time of the aforementioned 12 week~     review of the first 5 patients no safety issues are identified, dosing will begin in the next~     lower age cohort with an initial group of 5 patients. The same procedure will be followed in~     terms of safety review and subsequent enrolment and randomisation of the additional patients.~     Initiation of the younger age cohort will take place once data from the previous has been~     evaluated. Doses will be adjusted according to platelet counts and tolerability. The study~     will include a review of the safety data by a Data Safety Monitoring Board.~   ","C0857305;C0040034;C1831905","C0032181;C2362502;C1831905;C1831905;C1831905;C1831905;C0032181;C2926735;C0032042;C0032042;C0600091;C0600091;C0180112;C0376495;C0376495",868,30160
"NCT00908245","haemorrhage cure_page_rank.csv","Ischemic Preconditioning in Major Hepatectomy","~     To evaluate the accuracy of ischemic preconditioning (IPC) as a protective maneuver against~     ischemia/reperfusion lesion in patients undergoing major liver resection with intermittent~     portal triad Clamping (IPTC).~      Summary Background Data: For sake of safety and to avoid excessive blood loss during~     parenchymal transection, vascular inflow occlusion is an effective trick but may cause~     ischemic damage to the remnant liver and can lead to liver failure in case of chronic liver~     disease. IPTC has been proven to be superior to continuous hepatic pedicle clamping as it~     preserve liver remnant from severe ischemia/reperfusion lesion, so does IPC. Yet, if IPC is~     beneficial if liver resection is performed under IPTC has never been demonstrated in a~     randomised controlled trial (RCT). The investigators designed a RCT to assess the impact of~     IPC in patient undergoing major liver resection with intermittent vascular inflow occlusion.~   ","C0871117;C0019144;C0022116","C0871117;C0085605;C0227514;C3163616;C0022116;C0022116;C0012634;C0205054;C0456605;C0221198;C0221198;C0023884;C0023884;C0023884;C0023884;C0023884;C0023884;C2947996;C0022116;C0022116;C0180112;C0024636",0,0
"NCT00913458","serious Rheumatoid arthritis_pageRank.csv","Study Evaluating Etanercept Plus Methotrexate in Early Rheumatoid Arthritis","~     Study to evaluate whether there is sustained remission and productivity in subjects with~     early rheumatoid arthritis started on etanercept plus methotrexate treatment.~   ","C0003873;C0025677;C0717758","C0003873;C0025677;C0717758;C0544452;C2732140",511,35910
"NCT00914095","Early Parkinson disease treatment_page_rank.csv","Study of Methylphenidate to Treat Gait Disorders And Attention Deficit In Parkinson's Disease (PARKGAIT-II)","~     Therapeutic management of gait disorders in very advanced Parkinson's disease (PD) patients~     can sometimes be disappointing, since dopaminergic drug treatments and subthalamic nucleus~     (STN) stimulation are more effective for limb-related Parkinsonian signs than for gait~     disorders. Gait disorders could be also partly related to noradrenergic system impairment,~     pharmacological modulation of both dopamine and noradrenaline pathways could potentially~     improve the symptomatology. The investigators have demonstrated using an open label study on~     17 advanced PD patients that chronic, high doses of methylphenidate (MPD) improved gait,~     freezing of gait, motor symptoms and attention in the absence of L-Dopa and increased the~     intensity of response of these symptoms to L-Dopa (Devos et al., 2007). The investigators~     aimed to confirm their results using a randomized, double-blind, placebo-controlled,~     parallel-group, multicentric trial. The investigators will assess the clinical value of~     chronic, high doses (1 mg/kg/day) of MPD vs placebo in 88 non demented PD patients suffering~     from severe gait disorders with freezing despite their use of optimal dopaminergic doses and~     eventually STN stimulation parameters. Efficacy will be assessed directly and on video in the~     absence of L-Dopa and again after acute administration of the drug, both before and after a~     3-month course of MPD, using Stand Walk Sit test (primary criteria), the Freezing Of Gait~     trajectory, RGSE scale, the UPDRS scores, the dyskinesia rating scale, Achiron scales and~     using auto-questionnaires of Giladi, ABC scale and PDQ 39. Attention will be assessed using~     reactions times. Drowsiness will be assessed using Epworth and Parkinson's disease Sleep~     Scales. Apathy and depression will be monitored with Lille Apathy Rating Scale, MADRS, BPRS,~     MINI and psychiatric interview. Cardiologic and general tolerance will be also monitored.~     This study could lead to propose methylphenidate with a good efficacy/ risk balance in~     advanced PD patients suffering from severe gait disorders with freezing of gait, drowsiness~     and attention deficit.~   ","C0025810;C0004268;C0012634","C0025810;C0025810;C0034394;C0013144;C0011570;C0004268;C0004268;C0004268;C0013030;C0184511;C1457887;C1457887;C0012634;C0012634;C0014653;C0222045;C0222045;C0085632;C0085632;C0013023;C0013023;C0013023;C0013144;C0184511;C0032042;C0032042;C0376495;C0555216;C0555216;C0037313;C0222045;C0222045;C0222045;C0222045;C3845829",0,0
